,house-types,location,bedrooms,bathrooms,toilets,price,rent / sale
5917,SEMI DETACHED,Gbagada,4,4,4,"110,000,000",SALE
5918,TERRACED DUPLEX,Surulere,4,5,5,"67,000,000",SALE
5919,BLOCKS OF,Maryland,3,3,3,"90,000,000",SALE
5920,DETACHED DUPLEX,GateLekki,6,4,8,"65,000,000",SALE
5921,DETACHED DUPLEX,Ojodu,5,0,0,"25,000,000",SALE
5922,HOUSE FOR,Ajah,4,4,5,"45,000,000",SALE
5923,HOUSE FOR,Ojodu,0,0,0,"110,000,000",SALE
5924,DETACHED DUPLEX,Alimosho,5,5,6,"80,000,000",SALE
5925,SALE,Agege,0,0,0,"70,000,000",SALE
5926,HOUSE FOR,Lekki,0,0,0,"65,000,000",SALE
5927,HOUSE FOR,ketuKetu,3,2,3,"65,000,000",SALE
5928,SELF CONTAIN,Ikoyi,4,4,5,"205,000,000",SALE
5929,DETACHED DUPLEX,Ojodu,5,5,6,"120,000,000",SALE
5930,HOUSE FOR,Lekki,0,0,0,"35,000,000",SALE
5931,DETACHED DUPLEX,Lekki,5,6,6,"140,000,000",SALE
5932,TERRACED DUPLEX,Lekki,4,5,5,"35,000,000",SALE
5933,DETACHED BUNGALOW,Ikorodu,3,3,4,"7,000,000",SALE
5934,DETACHED DUPLEX,Ojodu,5,5,6,"130,000,000",SALE
5935,HOUSE FOR,Ojodu,0,0,0,"55,000,000",SALE
5936,TERRACED DUPLEX,CloseOjodu,3,3,4,"45,000,000",SALE
5937,HOUSE FOR,Ikorodu,beds,baths,Toilets,"8,500,000",SALE
5938,HOUSE FOR,Lekki,0,0,0,"33,000,000",SALE
5939,HOUSE FOR,Maryland,5,5,6,"75,000,000",SALE
5940,DETACHED DUPLEX,Lekki,5,6,7,"320,000,000",SALE
5941,DETACHED DUPLEX,Lekki,5,0,0,"110,000,000",SALE
5942,HOUSE FOR,Ojodu,0,0,0,"82,000,000",SALE
5943,TERRACED DUPLEX,Ogudu,5,5,6,"85,000,000",SALE
5944,DUPLEX HOUSE,Ogba,beds,baths,Toilets,"50,000,000",SALE
5945,DETACHED DUPLEX,Lekki,5,5,7,"380,000,000",SALE
5946,TERRACED DUPLEX,Ogudu,4,4,5,"75,000,000",SALE
5947,HOUSE FOR,-Lekki,0,0,0,"120,000,000",SALE
5948,SEMI DETACHED,alogbaIkorodu,3,4,0,"15,000,000",SALE
5949,DETACHED DUPLEX,-Ajah,5,0,0,"46,000,000",SALE
5950,FLAT ,Yaba,3,3,4,"45,000,000",SALE
5951,SEMI DETACHED,Island,4,4,5,"135,000,000",SALE
5952,SEMI DETACHED,Maryland,4,5,6,"60,000,000",SALE
5953,DETACHED DUPLEX,Ajah,4,4,5,"50,000,000",SALE
5954,FLATS HOUSE,Igando,0,0,0,"30,000,000",SALE
5955,SEMI DETACHED,Ikeja,4,4,5,"95,000,000",SALE
5956,HOUSE FOR,Okota,0,0,0,"35,000,000",SALE
5957,HOUSE FOR,Ojodu,5,5,6,"175,000,000",SALE
5958,SALE,...Lekki,0,0,0,"80,000,000",SALE
5959,DETACHED BUNGALOW,BogijeAjah,3,2,4,"20,000,000",SALE
5960,DETACHED DUPLEX,Lekki,4,0,0,"200,000,000",SALE
5961,TERRACED DUPLEX,Maryland,4,4,5,"55,000,000",SALE
5962,TERRACED DUPLEX,Lekki,4,5,6,"120,000,000",SALE
