,house-types,location,bedrooms,bathrooms,toilets,price,rent / sale
3993,PROPERTY FOR,Ikoyi,0,0,0,"6,500,000",RENT
3994,FLAT ,Gbagada,2,0,0,"900,000",RENT
3995,MINI FLAT,Gbagada,1,1,1,"500,000",RENT
3996,DUPLEX HOUSE,Ikoyi,0,0,0,"9,000,000",RENT
3997,FLAT ,Gbagada,3,4,4,"1,600,000",RENT
3998,MINI FLAT,Island,1,1,1,"2,200,000",RENT
3999,DETACHED DUPLEX,Lekki,5,5,5,"85,000,000",SALE
4000,MINI FLAT,Ogba,1,2,2,"500,000",RENT
4001,MINI FLAT,Odofin,1,2,2,"600,000",RENT
4002,LAND LAND,Island,0,0,0,"13,000,000",RENT
4003,MINI FLAT,Yaba,1,1,1,"400,000",RENT
4004,MINI FLAT,Ajah,1,baths,2,"500,000",RENT
4005,DETACHED DUPLEX,Ikeja,5,6,6,"5,000,000",RENT
4006,FOR RENT,Ikeja,beds,baths,Toilets,"15,000,000",RENT
4007,PROPERTY FOR,Lekki,beds,baths,Toilets,"1,000,000",RENT
4008,FLAT ,Ogudu,2,3,3,"1,500,000",RENT
4009,COMMERCIAL PROPERTY,Island,beds,baths,4,"65,000",RENT
4010,BLOCKS OF,Island,3,3,4,"3,500,000",RENT
4011,BLOCKS OF,Gbagada,3,3,4,"2,200,000",RENT
4012,FOR RENT,Lekki,beds,baths,Toilets,"8,500,000",RENT
4013,SEMI DETACHED,Gbagada,5,5,5,"3,000,000",RENT
4014,COMMERCIAL PROPERTY,Lekki,beds,baths,Toilets,"2,800,000",RENT
4015,FLAT ,Island,3,3,4,"3,500,000",RENT
4016,PROPERTY FOR,Lekki,beds,baths,Toilets,"7,000,000",RENT
4017,COMMERCIAL PROPERTY,Lekki,beds,baths,Toilets,"3,000,000",RENT
4018,COMMERCIAL PROPERTY,Lekki,beds,baths,Toilets,"18,000,000",RENT
4019,BLOCKS OF,HospitalGbagada,2,2,3,"1,800,000",RENT
4020,TERRACED DUPLEX,Lekki,5,5,6,"65,000,000",SALE
4021,COMMERCIAL PROPERTY,Island,beds,baths,Toilets,"3,400,000",RENT
4022,COMMERCIAL PROPERTY,Island,beds,baths,Toilets,"40,000",RENT
4023,A MALL,Lekki,beds,baths,Toilets,"4,000,000",RENT
4024,DETACHED DUPLEX,Maryland,5,5,6,"8,500,000",RENT
4025,A MALL,Lekki,beds,baths,Toilets,"3,000,000",RENT
4026,FLAT ,Lekki,3,3,4,"4,000,000",RENT
4027,A MALL,Lekki,beds,baths,Toilets,"1,200,000",RENT
4028,A MALL,Lekki,beds,baths,Toilets,"1,800,000",RENT
4029,COMMERCIAL PROPERTY,Island,beds,2,4,"55,000",RENT
4030,DETACHED DUPLEX,Island,4,4,5,"9,000,000",RENT
4031,COMMERCIAL PROPERTY,Island,beds,baths,2,"50,000",RENT
4032,COMMERCIAL PROPERTY,Island,beds,baths,4,"70,000",RENT
4033,TERRACED DUPLEX,Maryland,4,5,5,"3,500,000",RENT
4034,FOR RENT,Ikoyi,beds,baths,Toilets,"15,000,000",RENT
4035,DETACHED DUPLEX,Ikoyi,4,3,3,"8,000,000",RENT
4036,FLAT ,Lekki,3,3,4,"2,750,000",RENT
4037,MINI FLAT,Lekki,1,1,1,"3,500,000",RENT
4038,TERRACED DUPLEX,Gbagada,5,5,5,"2,700,000",RENT
4039,FOR RENT,Ikeja,beds,baths,Toilets,"4,500,000",RENT
4040,MINI FLAT,Ikeja,1,2,3,"13,000,000",RENT
4041,DETACHED DUPLEX,Ikoyi,5,5,5,"200,000,000",SALE
4042,FLATS HOUSE,Island,beds,baths,Toilets,"30,000,000",RENT
4043,OFFICE SPACE,Island,5,baths,Toilets,"9,000,000",RENT
4044,FOR RENT,Ikoyi,beds,baths,Toilets,"12,000,000",RENT
4045,APARTMENT FOR,Okota,beds,baths,Toilets,"900,000",RENT
4046,A MALL,Lekki,beds,baths,1,"2,500,000",RENT
4047,DETACHED DUPLEX,Ikoyi,4,4,5,"5,500,000",RENT
4048,PROPERTY FOR,Ojodu,beds,baths,Toilets,"6,000,000",RENT
4049,BLOCKS OF,Ogudu,2,2,3,"1,500,000",RENT
4050,HOUSE FOR,Ikosi,2,2,3,"700,000",RENT
4051,SEMI DETACHED,Lekki,4,4,5,"3,500,000",RENT
4052,BLOCKS OF,Idimu,3,3,4,"800,000",RENT
4053,TERRACED DUPLEX,Lekki,3,3,4,"5,000,000",RENT
4054,COMMERCIAL PROPERTY,Lekki,beds,baths,1,"2,500,000",RENT
4055,FLAT ,Lekki,3,3,4,"3,000,000",RENT
4056,COMMERCIAL PROPERTY,Island,beds,baths,2,"40,000",RENT
